transaction_id,product_id,category_id,quantity,price_per_unit,timestamp
bf7eb926-24d4-477a-8340-91672d48e3aa,PROD_079,CAT_02,3,148.69,2024-03-30T08:36:28.031477
c7ee191f-0bc0-4dca-bab2-23b649f85893,PROD_025,CAT_05,3,115.23,2024-03-30T21:39:28.532361
9fb92205-6ef9-49dd-a4e8-86aedecbaf84,PROD_044,CAT_05,1,78.34,2024-03-30T04:15:18.642049
57a80784-496c-499a-b1b0-f9359f3906da,PROD_043,CAT_04,5,79.55,2024-03-30T13:59:48.846485
c57e57c4-b121-4b82-ad2b-cc26249f86d0,PROD_064,CAT_04,1,174.87,2024-03-30T13:25:57.551684
f0ac91f5-035a-429c-b6fd-daaf5381ec69,PROD_078,CAT_02,2,102.9,2024-03-30T00:14:31.998863
43bb4e66-33b7-4508-b348-a4ff75120e37,PROD_063,CAT_03,5,46.09,2024-03-30T08:51:27.568152
f7a3f3fa-ac00-4e23-ace6-d08b438bd1f5,PROD_040,CAT_01,4,109.93,2024-03-30T12:38:23.661543
030a439a-407d-42a3-974b-77dd2f4eed57,PROD_002,CAT_04,5,135.78,2024-03-30T19:33:35.915555
796dd85c-b315-4504-94a3-91a575665ad7,PROD_046,CAT_01,3,57.43,2024-03-30T21:52:07.176199
d19bf20e-ee7d-4eb6-b426-cdb4a0ed89d9,PROD_053,CAT_04,2,27.56,2024-03-30T15:36:36.058203
61db3b1b-1cb5-4f6a-8bb7-17079fe844f7,PROD_029,CAT_04,4,27.21,2024-03-30T06:16:09.010783
cf0263b6-9d72-4a36-94a7-9bd044f8a66b,PROD_028,CAT_03,2,128.79,2024-03-30T20:27:43.150067
372fd4cc-28b3-486c-9629-ba9c4170ff64,PROD_004,CAT_04,3,134.41,2024-03-30T22:21:02.486152
0ae83c3e-5efe-4d3c-809e-fb70dc8111b0,PROD_083,CAT_02,3,52.24,2024-03-30T01:26:08.487237
e02fc9b3-23b1-49a5-9542-1c6705c7dc57,PROD_054,CAT_01,4,137.16,2024-03-30T16:26:06.524282
99e2a1b2-3d2c-48b6-abe9-31c28178b9fb,PROD_009,CAT_04,4,56.27,2024-03-30T22:03:33.141247
0b81490c-26e3-4755-99d8-cb5e62593652,PROD_033,CAT_03,1,120.56,2024-03-30T17:45:09.054452
f66e61dd-eba8-432c-9d88-20a959d7df13,PROD_010,CAT_02,1,152.5,2024-03-30T21:32:16.043188
070fb6b8-adc0-4e7b-9f4f-85c867998fbf,PROD_034,CAT_03,2,103.41,2024-03-30T23:45:00.604423
0ff7ed74-d727-4608-a782-a0a71fd4be0d,PROD_096,CAT_01,4,19.88,2024-03-30T13:15:27.810700
adce402c-5218-451f-8eb8-769dc8abba33,PROD_022,CAT_05,2,187.25,2024-03-30T21:02:35.966249
82a127af-0775-4457-8695-dcf654bc5a0f,PROD_035,CAT_03,1,135.25,2024-03-30T23:52:39.205513
22638ac3-ab23-46d7-8df6-085c5126378f,PROD_027,CAT_02,5,187.71,2024-03-30T07:59:35.507148
a33b127c-ab62-48f1-9e2c-87b416a9e255,PROD_014,CAT_01,3,67.88,2024-03-30T16:08:39.727918
7a76db46-04bf-4336-af66-0180128a9837,PROD_048,CAT_03,1,162.56,2024-03-30T12:00:29.628893
33842039-8ba5-49a6-a5a9-7be84a137566,PROD_027,CAT_02,3,17.55,2024-03-30T02:05:29.609055
dfd02307-017d-4533-a478-e132ee5f398e,PROD_049,CAT_02,2,106.29,2024-03-30T22:57:31.506841
5cdda83a-2383-47ba-84ac-38cb4b05faea,PROD_081,CAT_04,2,78.83,2024-03-30T21:20:57.689108
ecde1047-33fb-47f6-853c-c50eea8521b1,PROD_035,CAT_03,5,146.41,2024-03-30T01:37:29.827291
d246c955-b840-4593-9d23-a05681a212e0,PROD_047,CAT_01,5,180.73,2024-03-30T06:15:53.285757
4bcb6f32-b71a-4e94-96f3-559c714b9e79,PROD_077,CAT_04,5,113.04,2024-03-30T08:14:44.813065
60c8ef5f-317c-47a7-a9c2-95a9fae6596c,PROD_087,CAT_03,2,190.0,2024-03-30T18:29:06.503533
240c6caa-5f59-48cf-b3ce-3697bb6de50d,PROD_046,CAT_01,5,54.02,2024-03-30T22:11:36.703943
77e2bf5b-b08a-4881-b3f5-aaf445add853,PROD_015,CAT_04,5,78.17,2024-03-30T00:48:47.572119
